h	109.596
t	110.014
i	110.53
h	110.819
h	111.037
t	111.198
i	111.48
h	112.653
i	112.846
h	113.144
i	116.035
h	116.51
i	116.992
i	119.051
t	119.364
h	121.153
i	121.35
i	122.211
i	122.342
t	122.461
i	123.103
h	123.235
h	123.715
h	124.475
i	125.321
h	125.409
i	125.494
t	127.063
i	127.249
t	128.996
h	129.146
h	129.698
i	129.921
i	129.955
h	130.351
h	131.425
h	131.449
t	131.474
i	131.799
h	132.77
t	133.197
t	133.289
h	134.039
t	134.403
t	134.5
i	134.52
h	134.642
i	134.736
t	136.547
h	136.831
t	137.14
i	137.667
i	137.77
t	137.985
h	138.112
h	138.277
i	138.583
h	138.718
h	138.833
h	139.247
h	140.487
h	140.807
i	141.003
h	141.451
i	141.683
i	143.18
h	144.338
i	144.613
i	145.829
i	146.155
i	147.684
t	147.779
i	147.857
h	148.078
h	148.373
h	148.379
h	148.803
h	148.87
i	148.944
h	149.089
t	149.124
h	149.772
h	149.914
t	150.292
t	150.401
h	152.746
h	152.752
t	153.34
t	153.733
t	154.581
h	155.684
h	155.847
h	156.945
h	157.123
t	157.189
t	157.424
h	157.547
h	158.714
i	159.793
h	160.171
i	160.223
i	161.412
t	161.606
h	162.027
t	162.851
t	162.979
t	163.183
h	163.82
t	164.279
h	164.315
h	164.384
h	164.645
h	164.791
h	166.867
h	167.988
h	168.472
h	168.685
i	168.839
i	168.886
i	169.45
i	169.602
h	169.621
t	170.024
h	170.496
h	171.013
t	171.169
i	171.834
i	172.651
i	173.13
t	173.495
i	174.154
t	174.327
i	174.597
t	174.878
h	175.109
h	175.223
i	175.302
i	175.318
i	175.459
h	176.334
i	176.365
i	177.613
t	177.798
t	177.842
i	179.326
t	179.382
t	179.631
h	180.298
h	180.526
h	180.684
i	180.732
h	181.01
h	181.08
i	182.577
h	182.927
t	182.967
h	183.825
i	183.866
i	184.026
h	184.598
t	184.616
i	186.105
i	187.538
t	188.375
t	188.896
t	189.87
i	190.001
h	190.799
i	190.819
h	190.915
t	191.981
i	192.088
i	192.12
t	192.133
h	192.592
i	192.748
i	192.791
t	193.067
t	194.114
i	194.414
t	195.01
h	195.093
i	195.676
h	195.769
i	196.202
h	197.193
h	197.263
t	197.508
h	197.546
h	197.636
h	198.164
i	198.782
i	199.14
t	199.214
i	200.802
t	201.27
t	201.501
h	202.211
h	202.394
h	202.437
i	202.771
h	204.037
i	204.373
t	204.5
t	204.568
h	204.895
i	204.924
h	205.176
t	205.468
t	205.712
h	206.073
i	206.212
i	206.273
h	207.148
t	207.83
h	208.534
i	208.631
i	209.802
h	209.976
i	210.356
h	210.863
h	211.26
i	211.478
h	211.64
h	211.83
i	212.254
i	212.403
